parameter,count,mean,std,min,25%,50%,75%,max
mn2t_min,120.0,-0.5418592592592593,11.359745258917057,-22.73035802469136,-10.68696913580247,-0.3475432098765432,10.330256172839505,19.066358024691358
mn2t_max,120.0,22.246688477366256,10.284060686821778,3.212246913580247,14.37509259259259,25.23019135802469,31.748567901234566,36.03350617283951
mn2t_median,120.0,9.413986882716049,10.860236216190893,-8.970679012345679,-0.8278518518518518,10.048839506172838,19.462819444444442,24.3109012345679
sd_mean,120.0,0.00019527066284889382,0.00045255494559363934,0.0,0.0,2.0234106560146188e-05,0.00016293108175144492,0.002842874275619475
sd_std,120.0,0.0005022966868893071,0.0009546844868068947,0.0,0.0,0.00011268102087538196,0.0005758258270354148,0.005542084775365491
sd_min,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sd_max,120.0,0.005480964963666668,0.007746278139772178,0.0,0.0,0.002286911,0.008080244,0.046854973
sd_median,120.0,1.4797846691666668e-05,9.003942602425541e-05,0.0,0.0,0.0,0.0,0.000702858
str_mean,120.0,-278820.3632970358,53282.281390056625,-368890.43297894375,-316864.85764172015,-288749.371253508,-256796.3199635735,-143912.35696826465
str_std,120.0,118184.2441549394,18185.12571027291,74385.6730602953,105613.91843164263,118883.33895631538,130353.50330379789,159098.02072948831
str_min,120.0,-651025.5877500001,82220.1392122526,-808849.0,-716486.5249999999,-640583.5,-580836.75,-515173.0
str_max,120.0,5201.918745833334,19080.999668249147,-73134.0,-4219.0,9967.5,16370.0,44441.0
str_median,120.0,-265426.25077083334,52833.635371676115,-346577.85,-307109.875,-276423.625,-244718.625,-130251.405
sp_mean,120.0,95624.85583321544,676.0867810363758,94465.73371905283,94959.93383923237,95673.36829822531,96280.28240142747,96731.07607900239
sp_std,120.0,469.57508269931714,118.8994092904309,245.340510282782,372.00863240095936,460.1722541669139,554.2386422730032,785.0273687384897
sp_min,120.0,94450.81559465021,601.1280471632167,93299.9675925926,93909.19521604938,94303.51388888889,95003.26765432098,95659.77641975309
sp_max,120.0,96707.12721553497,841.078592714346,95127.37808641975,95914.04861111111,96889.00145061727,97447.51336419753,98023.14333333333
sp_median,120.0,95631.43141538066,685.4807785146485,94449.47058641975,94936.82627314814,95697.3549382716,96299.828125,96797.00163580247
tisr_mean,120.0,1180725.73731056,412417.0708824934,572268.0536306916,817613.1568881051,1207638.7427408292,1551386.1383247047,1733341.4013717421
tisr_std,120.0,1377712.9577173772,330135.62626103504,838247.7161924748,1103310.5804080106,1452672.036738559,1678225.620337354,1760621.1563941403
tisr_min,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tisr_max,120.0,3812311.466666667,736282.0512184188,2427648.0,3277824.0,4071744.0,4461216.0,4561536.0
tisr_median,120.0,403515.2,458573.74689370056,0.0,0.0,162336.0,809840.0,1199552.0
tcwv_mean,120.0,15.384109799607764,11.646890403340285,2.548483342521904,5.359791294774111,11.700000811099827,24.42049511684199,42.71392308737389
tcwv_std,120.0,5.483957216499095,2.9429190358208137,1.084008935239509,2.9468719857704486,5.302793678210932,7.252706010880123,14.6231981139769
tcwv_min,120.0,5.450309621151234,5.894786519993896,0.3370702943209877,1.4265709440432097,2.622968514814815,7.565099941975308,26.927195691358026
tcwv_max,120.0,30.570712422325105,17.24169288223728,6.438657302469135,15.948530151234568,26.165029339506173,43.29883772530864,65.96893098765432
tcwv_median,120.0,14.817286654104938,11.804054608072233,2.291066563580247,4.656066970061728,10.5262251095679,23.91805619830247,43.25394605555556
tp_mean,120.0,0.15469306878229244,0.12715690351671133,0.004382602977542285,0.053085186744762744,0.12288750504271165,0.20723611422772872,0.6640237264792166
tp_std,120.0,0.2730505806230006,0.23790757104354984,0.0032314900887541733,0.07945822584645235,0.2238578146913744,0.3842357408904187,1.1225072145532407
tp_min,120.0,0.001414444444444444,7.187898759557851e-05,0.0014,0.0014,0.0014,0.0014,0.0019
tp_max,120.0,1.8005737808384206,1.686811508677216,0.016959375,0.4427727083333333,1.509793209876543,2.3299819819819816,9.333648148148148
tp_median,120.0,0.045842641309409515,0.038400102633483285,0.0032874999999999996,0.01293379319955407,0.03960013316512476,0.06711866554054054,0.1985479012345679
wind_speed_10m,120.0,0.7329596883069115,0.4015641321350495,0.05423464028448558,0.4283631160790034,0.6923270816052283,0.9934389096382596,1.8480543126157853
wind_speed_100m,120.0,1.2431736303857606,0.6554521449395462,0.03693697642431456,0.7859185249650114,1.183379105105903,1.6434076020155988,3.1726279329799922
